country,city,latitude,longitude,altitude,country,city,latitude,longitude,altitude,,
Australia,Wangaratta,-36.3666667,146.3333282,148,,,,,,,
Australia,Port Augusta,-32.5,137.7666626,7,,,,,,,
Australia,Singleton,-32.5666667,151.1833344,154,,,,,,,
Australia,Cleveland,-27.5333333,153.2666626,1,,,,,,,
Australia,Bongaree,-27.0797222,153.1586151,1,,,,,,,
Australia,Raymond Terrace,-32.75,151.75,7,,,,,,,
Australia,Bacchus Marsh,-37.6833333,144.4499969,129,,,,,,,
Australia,Broome,-17.9666667,122.2333298,-9999,,,,,,,
Australia,Moe,-38.1666667,146.2666626,150,,,,,,,
Australia,Sale,-38.1,147.0666656,37,,,,,,,
Australia,Horsham,-36.7166667,142.1999969,116,,,,,,,
Australia,Warwick,-28.2333333,152.0166626,555,,,,,,,
